name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,instructions,id,,,
Barbell Shoulder Press,push,intermediate,compound,barbell,"[""shoulders""]","[""chest"", ""triceps""]","[""Sit on a bench with back support in a squat rack. Position a barbell at a height that is just above your head. Grab the barbell with a pronated grip (palms facing forward)."", ""Once you pick up the barbell with the correct grip width, lift the bar up over your head by locking your arms. Hold at about shoulder level and slightly in front of your head. This is your starting position."", ""Lower the bar down to the shoulders slowly as you inhale."", ""Lift the bar back up to the starting position as you exhale."", ""Repeat for the recommended amount of repetitions.""]",Barbell_Shoulder_Press,,,"[""quadriceps""]"
Barbell Shrug,pull,beginner,isolation,barbell,"[""traps""]",[],"[""Stand up straight with your feet at shoulder width as you hold a barbell with both hands in front of you using a pronated grip (palms facing the thighs). Tip: Your hands should be a little wider than shoulder width apart. You can use wrist wraps for this exercise for a better grip. This will be your starting position."", ""Raise your shoulders up as far as you can go as you breathe out and hold the contraction for a second. Tip: Refrain from trying to lift the barbell by using your biceps."", ""Slowly return to the starting position as you breathe in."", ""Repeat for the recommended amount of repetitions.""]",Barbell_Shrug,,,"[""shoulders""]"
Barbell Shrug Behind The Back,pull,beginner,isolation,barbell,"[""traps""]","[""forearms"", ""middle back""]","[""Stand up straight with your feet at shoulder width as you hold a barbell with both hands behind your back using a pronated grip (palms facing back). Tip: Your hands should be a little wider than shoulder width apart. You can use wrist wraps for this exercise for better grip. This will be your starting position."", ""Raise your shoulders up as far as you can go as you breathe out and hold the contraction for a second. Tip: Refrain from trying to lift the barbell by using your biceps. The arms should remain stretched out at all times."", ""Slowly return to the starting position as you breathe in."", ""Repeat for the recommended amount of repetitions.""]",Barbell_Shrug_Behind_The_Back,,,"[""chest""]"
Barbell Side Bend,pull,beginner,isolation,barbell,"[""abdominals""]","[""lower back""]","[""Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck). Your feet should be shoulder width apart. This will be your starting position."", ""While keeping your back straight and your head up, bend only at the waist to the right as far as possible. Breathe in as you bend to the side. Then hold for a second and come back up to the starting position as you exhale. Tip: Keep the rest of the body stationary."", ""Now repeat the movement but bending to the left instead. Hold for a second and come back to the starting position."", ""Repeat for the recommended amount of repetitions.""]",Barbell_Side_Bend,,,"[""lower back""]"
Barbell Side Split Squat,push,beginner,compound,barbell,"[""quadriceps""]","[""calves"", ""hamstrings"", ""lower back""]","[""Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck). Your feet should be placed wide apart with the foot of the lead leg angled out to the side. This will be your starting position."", ""Lower your body towards the side of your angled foot by bending the knee and hip of your lead leg and while keeping the opposite leg only slightly bent. Breathe in as you lower your body."", ""Return to the starting position by extending the hip and knee of the lead leg. Breathe out as you perform this movement."", ""After performing the recommended amount of reps, repeat the movement with the opposite leg.""]",Barbell_Side_Split_Squat,,,"[""glutes""]"
Barbell Squat,push,beginner,compound,barbell,"[""quadriceps""]","[""calves"", ""glutes"", ""hamstrings"", ""lower back""]","[""This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack to just below shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it."", ""Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso."", ""Step away from the rack and position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head up at all times and also maintain a straight back. This will be your starting position. (Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances discussed in the foot stances section)."", ""Begin to slowly lower the bar by bending the knees and hips as you maintain a straight posture with the head up. Continue down until the angle between the upper leg and the calves becomes slightly less than 90-degrees. Inhale as you perform this portion of the movement. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly."", ""Begin to raise the bar as you exhale by pushing the floor with the heel of your foot as you straighten the legs again and go back to the starting position."", ""Repeat for the recommended amount of repetitions.""]",Barbell_Squat,,,"[""calves""]"
Barbell Squat To A Bench,push,expert,compound,barbell,"[""quadriceps""]","[""calves"", ""glutes"", ""hamstrings"", ""lower back""]","[""This exercise is best performed inside a squat rack for safety purposes. To begin, first place a flat bench or a box behind you. The flat bench is used to teach you to set your hips back and to hit depth."", """", ""Then, set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it."", ""Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso."", ""Step away from the rack and position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head up at all times as looking down will get you off balance and also maintain a straight back. This will be your starting position. (Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances discussed in the foot stances section)."", ""Begin to slowly lower the bar by bending the knees and sitting your hips back as you maintain a straight posture with the head up. Continue down until you slightly touch the bench behind you. Inhale as you perform this portion of the movement. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly."", ""Begin to raise the bar as you exhale by pushing the floor with the heel of your foot as you straighten the legs and extend the hips to go back to the starting position."", ""Repeat for the recommended amount of repetitions.""]",Barbell_Squat_To_A_Bench,,,"[""traps""]"
Barbell Step Ups,push,intermediate,compound,barbell,"[""quadriceps""]","[""calves"", ""glutes"", ""hamstrings"", ""quadriceps""]","[""Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck) and stand upright behind an elevated platform (such as the one used for spotting behind a flat bench). This is your starting position."", ""Place the right foot on the elevated platform. Step on the platform by extending the hip and the knee of your right leg. Use the heel mainly to lift the rest of your body up and place the foot of the left leg on the platform as well. Breathe out as you execute the force required to come up."", ""Step down with the left leg by flexing the hip and knee of the right leg as you inhale. Return to the original standing position by placing the right foot of to next to the left foot on the initial position."", ""Repeat with the right leg for the recommended amount of repetitions and then perform with the left leg.""]",Barbell_Step_Ups,,,"[""triceps""]"
Barbell Walking Lunge,push,beginner,compound,barbell,"[""quadriceps""]","[""calves"", ""glutes"", ""hamstrings""]","[""Begin standing with your feet shoulder width apart and a barbell across your upper back."", ""Step forward with one leg, flexing the knees to drop your hips. Descend until your rear knee nearly touches the ground. Your posture should remain upright, and your front knee should stay above the front foot."", ""Drive through the heel of your lead foot and extend both knees to raise yourself back up."", ""Step forward with your rear foot, repeating the lunge on the opposite leg.""]",Barbell_Walking_Lunge,,,"[""lats""]"
Battling Ropes,push,beginner,compound,other,"[""shoulders""]","[""chest"", ""forearms""]","[""For this exercise you will need a heavy rope anchored at its center 15-20 feet away. Standing in front of the rope, take an end in each hand with your arms extended at your side. This will be your starting position."", ""Initiate the movement by rapidly raising one arm to shoulder level as quickly as you can."", ""As you let that arm drop to the starting position, raise the opposite side."", ""Continue alternating your left and right arms, whipping the ropes up and down as fast as you can.""]",Battling_Ropes,,,"[""middle back""]"
Bear Crawl Sled Drags,push,beginner,compound,other,"[""quadriceps""]","[""calves"", ""glutes"", ""hamstrings""]","[""Wearing either a harness or a loose weight belt, attach the chain to the back so that you will be facing away from the sled. Bend down so that your hands are on the ground. Your back should be flat and knees bent. This is your starting position."", ""Begin by driving with legs, alternating left and right. Use your hands to maintain balance and to help pull. Try to keep your back flat as you move over a given distance.""]",Bear_Crawl_Sled_Drags,,,"[""hamstrings""]"
Bench Press - Powerlifting,push,intermediate,compound,barbell,"[""triceps""]","[""chest"", ""forearms"", ""lats"", ""shoulders""]","[""Begin by lying on the bench, getting your head beyond the bar if possible. Tuck your feet underneath you and arch your back. Using the bar to help support your weight, lift your shoulder off the bench and retract them, squeezing the shoulder blades together. Use your feet to drive your traps into the bench. Maintain this tight body position throughout the movement."", ""However wide your grip, it should cover the ring on the bar. Pull the bar out of the rack without protracting your shoulders. Focus on squeezing the bar and trying to pull it apart."", ""Lower the bar to your lower chest or upper stomach. The bar, wrist, and elbow should stay in line at all times."", ""Pause when the barbell touches your torso, and then drive the bar up with as much force as possible. The elbows should be tucked in until lockout.""]",Bench_Press_-_Powerlifting,,,"[""forearms""]"
Bench Press with Chains,push,expert,compound,barbell,"[""triceps""]","[""chest"", ""lats"", ""shoulders""]","[""Adjust the leader chain, shortening it to the desired length.Place the chains on the sleeves of the bar."", ""Lying on the bench, get your head beyond the bar if possible. Tuck your feet underneath you and arch your back. Using the bar to help support your weight, lift your shoulder off the bench and retract them, squeezing the shoulder blades together. Use your feet to drive your traps into the bench. Maintain this tight body position throughout the movement. However wide your grip, it should cover the ring on the bar."", ""Pull the bar out of the rack without protracting your shoulders. Focus on squeezing the bar and trying to pull it apart. Lower the bar to your lower chest or upper stomach. The bar, wrist, and elbow should stay in line at all times."", ""Pause when the barbell touches your torso, and then drive the bar up with as much force as possible. The elbows should be tucked in until lockout.""]",Bench_Press_with_Chains,,,"[""adductors""]"
